"subj" "expt" "item" "condition" "pos" "word" "correct" "rt" "spillover" "so" "rcpos"
"44" 1 "e1" 7 "c" "0" "老太太" "-" 471 6595 1 "1"
"45" 1 "e1" 7 "c" "1" "遇見" "-" 455 471 1 "2"
"46" 1 "e1" 7 "c" "2" "的" "-" 596 455 1 "3"
"47" 1 "e1" 7 "c" "3" "女孩" "-" 1212 596 1 "4"
"48" 1 "e1" 7 "c" "4" "頭髮" "-" 333 1212 1 "5"
"49" 1 "e1" 7 "c" "5" "很長" "-" 373 333 1 "-1"
"50" 1 "e1" 7 "c" "6" "而且" "-" 389 373 1 "-1"
"51" 1 "e1" 7 "c" "7" "也" "-" 318 389 1 "-1"
"52" 1 "e1" 7 "c" "8" "長的" "-" 788 318 1 "-1"
"53" 1 "e1" 7 "c" "9" "很" "-" 434 788 1 "-1"
"54" 1 "e1" 7 "c" "10" "漂亮" "-" 621 434 1 "-1"
"55" 1 "e1" 7 "c" "?" "N" "1" 2212 621 1 "-1"
"56" 1 "e1" 13 "a" "0" "很" "-" 365 2212 -1 "-1"
"57" 1 "e1" 13 "a" "1" "受不了" "-" 399 365 -1 "1"
"58" 1 "e1" 13 "a" "2" "鋼琴師" "-" 454 399 -1 "2"
"59" 1 "e1" 13 "a" "3" "的" "-" 293 454 -1 "3"
"60" 1 "e1" 13 "a" "4" "小提琴家" "-" 691 293 -1 "4"
"61" 1 "e1" 13 "a" "5" "脾氣" "-" 1907 691 -1 "5"
"62" 1 "e1" 13 "a" "6" "不好" "-" 3002 1907 -1 "-1"
"63" 1 "e1" 13 "a" "7" "對人" "-" 308 3002 -1 "-1"
"64" 1 "e1" 13 "a" "8" "大吼" "-" 329 308 -1 "-1"
"65" 1 "e1" 13 "a" "9" "大叫" "-" 339 329 -1 "-1"
"66" 1 "e1" 13 "a" "?" "Y" "1" 5591 339 -1 "-1"
"67" 1 "e1" 1 "a" "0" "質疑" "-" 1031 5591 -1 "1"
"68" 1 "e1" 1 "a" "1" "助教" "-" 520 1031 -1 "2"
"69" 1 "e1" 1 "a" "2" "的" "-" 356 520 -1 "3"
"70" 1 "e1" 1 "a" "3" "學生" "-" 364 356 -1 "4"
"71" 1 "e1" 1 "a" "4" "很" "-" 304 364 -1 "5"
"72" 1 "e1" 1 "a" "5" "不" "-" 313 304 -1 "-1"
"73" 1 "e1" 1 "a" "6" "高興" "-" 429 313 -1 "-1"
"74" 1 "e1" 1 "a" "7" "所以" "-" 1337 429 -1 "-1"
"75" 1 "e1" 1 "a" "8" "四處" "-" 318 1337 -1 "-1"
"76" 1 "e1" 1 "a" "9" "投訴" "-" 1217 318 -1 "-1"
"77" 1 "e1" 1 "a" "?" "Y" "1" 3862 1217 -1 "-1"
"78" 1 "e1" 19 "c" "0" "居民" "-" 607 3862 1 "1"
"79" 1 "e1" 19 "c" "1" "協助" "-" 429 607 1 "2"
"80" 1 "e1" 19 "c" "2" "的" "-" 394 429 1 "3"
"81" 1 "e1" 19 "c" "3" "軍官" "-" 1544 394 1 "4"
"82" 1 "e1" 19 "c" "4" "收傷" "-" 2315 1544 1 "5"
"83" 1 "e1" 19 "c" "5" "了" "-" 792 2315 1 "-1"
"84" 1 "e1" 19 "c" "6" "被" "-" 2926 792 1 "-1"
"85" 1 "e1" 19 "c" "7" "送往" "-" 550 2926 1 "-1"
"86" 1 "e1" 19 "c" "8" "醫院" "-" 344 550 1 "-1"
"87" 1 "e1" 19 "c" "?" "N" "1" 3469 344 1 "-1"
"88" 1 "e1" 9 "a" "0" "拜訪" "-" 577 3469 -1 "1"
"89" 1 "e1" 9 "a" "1" "大伯" "-" 596 577 -1 "2"
"90" 1 "e1" 9 "a" "2" "的" "-" 334 596 -1 "3"
"91" 1 "e1" 9 "a" "3" "鄰居" "-" 394 334 -1 "4"
"92" 1 "e1" 9 "a" "4" "家境" "-" 2199 394 -1 "5"
"93" 1 "e1" 9 "a" "5" "不好" "-" 1967 2199 -1 "-1"
"94" 1 "e1" 9 "a" "6" "常" "-" 782 1967 -1 "-1"
"95" 1 "e1" 9 "a" "7" "需要" "-" 354 782 -1 "-1"
"96" 1 "e1" 9 "a" "8" "朋友" "-" 419 354 -1 "-1"
"97" 1 "e1" 9 "a" "9" "幫忙" "-" 606 419 -1 "-1"
"98" 1 "e1" 9 "a" "?" "Y" "0" 6186 606 -1 "-1"
"99" 1 "e1" 17 "a" "0" "威脅" "-" 466 6186 -1 "1"
"100" 1 "e1" 17 "a" "1" "流氓" "-" 782 466 -1 "2"
"101" 1 "e1" 17 "a" "2" "的" "-" 303 782 -1 "3"
"102" 1 "e1" 17 "a" "3" "逃犯" "-" 404 303 -1 "4"
"103" 1 "e1" 17 "a" "4" "害怕" "-" 1261 404 -1 "5"
"104" 1 "e1" 17 "a" "5" "被" "-" 374 1261 -1 "-1"
"105" 1 "e1" 17 "a" "6" "警察" "-" 1473 374 -1 "-1"
"106" 1 "e1" 17 "a" "7" "抓" "-" 5609 1473 -1 "-1"
"107" 1 "e1" 17 "a" "8" "整天" "-" 469 5609 -1 "-1"
"108" 1 "e1" 17 "a" "9" "提心" "-" 707 469 -1 "-1"
"109" 1 "e1" 17 "a" "10" "吊膽" "-" 1413 707 -1 "-1"
"110" 1 "e1" 17 "a" "?" "N" "1" 9983 1413 -1 "-1"
"111" 10 "e1" 14 "c" "0" "屠夫" "-" 547 9983 1 "1"
"112" 10 "e1" 14 "c" "1" "瞧不起" "-" 630 547 1 "2"
"113" 10 "e1" 14 "c" "2" "的" "-" 420 630 1 "3"
"114" 10 "e1" 14 "c" "3" "清潔工" "-" 454 420 1 "4"
"115" 10 "e1" 14 "c" "4" "衣服" "-" 504 454 1 "5"
"116" 10 "e1" 14 "c" "5" "總是" "-" 586 504 1 "-1"
"117" 10 "e1" 14 "c" "6" "很" "-" 449 586 1 "-1"
"118" 10 "e1" 14 "c" "7" "髒" "-" 409 449 1 "-1"
"119" 10 "e1" 14 "c" "8" "身上" "-" 440 409 1 "-1"
"120" 10 "e1" 14 "c" "9" "也" "-" 470 440 1 "-1"
"121" 10 "e1" 14 "c" "10" "有股" "-" 560 470 1 "-1"
"122" 10 "e1" 14 "c" "11" "怪" "-" 389 560 1 "-1"
"123" 10 "e1" 14 "c" "12" "味道" "-" 475 389 1 "-1"
"124" 10 "e1" 14 "c" "?" "Y" "1" 3177 475 1 "-1"
"125" 10 "e1" 8 "a" "0" "羨慕" "-" 319 3177 -1 "1"
"126" 10 "e1" 8 "a" "1" "歌手" "-" 419 319 -1 "2"
"127" 10 "e1" 8 "a" "2" "的" "-" 454 419 -1 "3"
"128" 10 "e1" 8 "a" "3" "演員" "-" 485 454 -1 "4"
"129" 10 "e1" 8 "a" "4" "想" "-" 464 485 -1 "5"
"130" 10 "e1" 8 "a" "5" "往" "-" 616 464 -1 "-1"
"131" 10 "e1" 8 "a" "6" "其他" "-" 464 616 -1 "-1"
"132" 10 "e1" 8 "a" "7" "方面" "-" 999 464 -1 "-1"
"133" 10 "e1" 8 "a" "8" "發展" "-" 272 999 -1 "-1"
"134" 10 "e1" 8 "a" "9" "可是" "-" 303 272 -1 "-1"
"135" 10 "e1" 8 "a" "10" "沒有" "-" 429 303 -1 "-1"
"136" 10 "e1" 8 "a" "11" "機會" "-" 343 429 -1 "-1"
"137" 10 "e1" 8 "a" "?" "N" "1" 2907 343 -1 "-1"
"138" 10 "e1" 2 "c" "0" "老闆" "-" 360 2907 1 "1"
"139" 10 "e1" 2 "c" "1" "信任" "-" 365 360 1 "2"
"140" 10 "e1" 2 "c" "2" "的" "-" 404 365 1 "3"
"141" 10 "e1" 2 "c" "3" "工程師" "-" 384 404 1 "4"
"142" 10 "e1" 2 "c" "4" "工作" "-" 414 384 1 "5"
"143" 10 "e1" 2 "c" "5" "很" "-" 642 414 1 "-1"
"144" 10 "e1" 2 "c" "6" "認真" "-" 404 642 1 "-1"
"145" 10 "e1" 2 "c" "7" "效率" "-" 288 404 1 "-1"
"146" 10 "e1" 2 "c" "8" "又高" "-" 294 288 1 "-1"
"147" 10 "e1" 2 "c" "?" "Y" "1" 1567 294 1 "-1"
"148" 10 "e1" 20 "a" "0" "抱怨" "-" 481 1567 -1 "1"
"149" 10 "e1" 20 "a" "1" "司機" "-" 530 481 -1 "2"
"150" 10 "e1" 20 "a" "2" "的" "-" 520 530 -1 "3"
"151" 10 "e1" 20 "a" "3" "乘客" "-" 852 520 -1 "4"
"152" 10 "e1" 20 "a" "4" "總是" "-" 486 852 -1 "5"
"153" 10 "e1" 20 "a" "5" "大聲" "-" 581 486 -1 "-1"
"154" 10 "e1" 20 "a" "6" "喧嘩" "-" 691 581 -1 "-1"
"155" 10 "e1" 20 "a" "7" "很" "-" 712 691 -1 "-1"
"156" 10 "e1" 20 "a" "8" "令人" "-" 560 712 -1 "-1"
"157" 10 "e1" 20 "a" "9" "受不了" "-" 373 560 -1 "-1"
"158" 10 "e1" 20 "a" "?" "N" "1" 1851 373 -1 "-1"
"159" 10 "e1" 18 "c" "0" "富豪" "-" 385 1851 1 "1"
"160" 10 "e1" 18 "c" "1" "邀請" "-" 429 385 1 "2"
"161" 10 "e1" 18 "c" "2" "的" "-" 354 429 1 "3"
"162" 10 "e1" 18 "c" "3" "官員" "-" 429 354 1 "4"
"163" 10 "e1" 18 "c" "4" "心懷" "-" 364 429 1 "5"
"164" 10 "e1" 18 "c" "5" "不軌" "-" 469 364 1 "-1"
"165" 10 "e1" 18 "c" "6" "但是" "-" 298 469 1 "-1"
"166" 10 "e1" 18 "c" "7" "善於" "-" 359 298 1 "-1"
"167" 10 "e1" 18 "c" "8" "隱藏" "-" 455 359 1 "-1"
"168" 10 "e1" 18 "c" "?" "N" "1" 2358 455 1 "-1"
"182" 10 "e1" 4 "a" "0" "讚美" "-" 365 2358 -1 "1"
"183" 10 "e1" 4 "a" "1" "聲樂家" "-" 691 365 -1 "2"
"184" 10 "e1" 4 "a" "2" "的" "-" 474 691 -1 "3"
"185" 10 "e1" 4 "a" "3" "指揮家" "-" 469 474 -1 "4"
"186" 10 "e1" 4 "a" "4" "很" "-" 1049 469 -1 "5"
"187" 10 "e1" 4 "a" "5" "有天份" "-" 318 1049 -1 "-1"
"188" 10 "e1" 4 "a" "6" "但是" "-" 580 318 -1 "-1"
"189" 10 "e1" 4 "a" "7" "也" "-" 334 580 -1 "-1"
"190" 10 "e1" 4 "a" "8" "很" "-" 258 334 -1 "-1"
"191" 10 "e1" 4 "a" "9" "驕傲" "-" 450 258 -1 "-1"
"192" 10 "e1" 4 "a" "?" "N" "0" 2613 450 -1 "-1"
"193" 10 "e1" 6 "c" "0" "市長" "-" 259 2613 1 "1"
"194" 10 "e1" 6 "c" "1" "打擾" "-" 375 259 1 "2"
"195" 10 "e1" 6 "c" "2" "的" "-" 389 375 1 "3"
"196" 10 "e1" 6 "c" "3" "議員" "-" 350 389 1 "4"
"197" 10 "e1" 6 "c" "4" "整天" "-" 424 350 1 "5"
"198" 10 "e1" 6 "c" "5" "講電話" "-" 480 424 1 "-1"
"199" 10 "e1" 6 "c" "6" "因為" "-" 314 480 1 "-1"
"200" 10 "e1" 6 "c" "7" "事情" "-" 278 314 1 "-1"
"201" 10 "e1" 6 "c" "8" "多" "-" 410 278 1 "-1"
"202" 10 "e1" 6 "c" "?" "Y" "0" 1231 410 1 "-1"
"203" 10 "e1" 10 "c" "0" "郵差" "-" 365 1231 1 "1"
"204" 10 "e1" 10 "c" "1" "撞到" "-" 314 365 1 "2"
"205" 10 "e1" 10 "c" "2" "的" "-" 328 314 1 "3"
"206" 10 "e1" 10 "c" "3" "送花童" "-" 487 328 1 "4"
"207" 10 "e1" 10 "c" "4" "背著" "-" 469 487 1 "5"
"208" 10 "e1" 10 "c" "5" "很多" "-" 308 469 1 "-1"
"209" 10 "e1" 10 "c" "6" "東西" "-" 309 308 1 "-1"
"210" 10 "e1" 10 "c" "7" "走路" "-" 353 309 1 "-1"
"211" 10 "e1" 10 "c" "8" "東倒西歪" "-" 898 353 1 "-1"
"212" 10 "e1" 10 "c" "?" "N" "1" 2028 898 1 "-1"
"213" 10 "e1" 16 "a" "0" "嘲笑" "-" 279 2028 -1 "1"
"214" 10 "e1" 16 "a" "1" "寡婦" "-" 338 279 -1 "2"
"215" 10 "e1" 16 "a" "2" "的" "-" 329 338 -1 "3"
"216" 10 "e1" 16 "a" "3" "老處女" "-" 360 329 -1 "4"
"217" 10 "e1" 16 "a" "4" "很" "-" 359 360 -1 "5"
"218" 10 "e1" 16 "a" "5" "想" "-" 445 359 -1 "-1"
"219" 10 "e1" 16 "a" "6" "交" "-" 506 445 -1 "-1"
"220" 10 "e1" 16 "a" "7" "男朋友" "-" 278 506 -1 "-1"
"221" 10 "e1" 16 "a" "8" "整天" "-" 307 278 -1 "-1"
"222" 10 "e1" 16 "a" "9" "要人" "-" 293 307 -1 "-1"
"223" 10 "e1" 16 "a" "10" "幫" "-" 531 293 -1 "-1"
"224" 10 "e1" 16 "a" "11" "她" "-" 278 531 -1 "-1"
"225" 10 "e1" 16 "a" "12" "做媒" "-" 386 278 -1 "-1"
"226" 10 "e1" 16 "a" "?" "N" "1" 2607 386 -1 "-1"
"227" 11 "e1" 15 "a" "0" "愛上" "-" 508 2607 -1 "1"
"228" 11 "e1" 15 "a" "1" "明星" "-" 377 508 -1 "2"
"229" 11 "e1" 15 "a" "2" "的" "-" 339 377 -1 "3"
"230" 11 "e1" 15 "a" "3" "詩人" "-" 994 339 -1 "4"
"231" 11 "e1" 15 "a" "4" "充滿" "-" 515 994 -1 "5"
"232" 11 "e1" 15 "a" "5" "不切實際" "-" 776 515 -1 "-1"
"233" 11 "e1" 15 "a" "6" "的" "-" 459 776 -1 "-1"
"234" 11 "e1" 15 "a" "7" "幻想" "-" 389 459 -1 "-1"
"235" 11 "e1" 15 "a" "8" "整天" "-" 429 389 -1 "-1"
"236" 11 "e1" 15 "a" "9" "作" "-" 374 429 -1 "-1"
"237" 11 "e1" 15 "a" "10" "白日夢" "-" 878 374 -1 "-1"
"238" 11 "e1" 15 "a" "?" "Y" "1" 16386 878 -1 "-1"
"239" 11 "e1" 3 "a" "0" "認識" "-" 399 16386 -1 "1"
"240" 11 "e1" 3 "a" "1" "教授" "-" 522 399 -1 "2"
"241" 11 "e1" 3 "a" "2" "的" "-" 390 522 -1 "3"
"242" 11 "e1" 3 "a" "3" "作家" "-" 876 390 -1 "4"
"243" 11 "e1" 3 "a" "4" "很" "-" 609 876 -1 "5"
"244" 11 "e1" 3 "a" "5" "有名" "-" 1002 609 -1 "-1"
"245" 11 "e1" 3 "a" "6" "著作" "-" 1953 1002 -1 "-1"
"246" 11 "e1" 3 "a" "7" "也" "-" 458 1953 -1 "-1"
"247" 11 "e1" 3 "a" "8" "很多" "-" 1576 458 -1 "-1"
"248" 11 "e1" 3 "a" "?" "N" "0" 5012 1576 -1 "-1"
"261" 11 "e1" 7 "a" "0" "遇見" "-" 455 5012 -1 "1"
"262" 11 "e1" 7 "a" "1" "老太太" "-" 580 455 -1 "2"
"263" 11 "e1" 7 "a" "2" "的" "-" 610 580 -1 "3"
"264" 11 "e1" 7 "a" "3" "女孩" "-" 878 610 -1 "4"
"265" 11 "e1" 7 "a" "4" "頭髮" "-" 2208 878 -1 "5"
"266" 11 "e1" 7 "a" "5" "很長" "-" 575 2208 -1 "-1"
"267" 11 "e1" 7 "a" "6" "而且" "-" 444 575 -1 "-1"
"268" 11 "e1" 7 "a" "7" "也" "-" 444 444 -1 "-1"
"269" 11 "e1" 7 "a" "8" "長的" "-" 485 444 -1 "-1"
"270" 11 "e1" 7 "a" "9" "很" "-" 903 485 -1 "-1"
"271" 11 "e1" 7 "a" "10" "漂亮" "-" 1377 903 -1 "-1"
"272" 11 "e1" 7 "a" "?" "N" "1" 2690 1377 -1 "-1"
"273" 11 "e1" 1 "c" "0" "助教" "-" 571 2690 1 "1"
"274" 11 "e1" 1 "c" "1" "質疑" "-" 938 571 1 "2"
"275" 11 "e1" 1 "c" "2" "的" "-" 1130 938 1 "3"
"276" 11 "e1" 1 "c" "3" "學生" "-" 545 1130 1 "4"
"277" 11 "e1" 1 "c" "4" "很" "-" 530 545 1 "5"
"278" 11 "e1" 1 "c" "5" "不" "-" 470 530 1 "-1"
"279" 11 "e1" 1 "c" "6" "高興" "-" 505 470 1 "-1"
"280" 11 "e1" 1 "c" "7" "所以" "-" 1109 505 1 "-1"
"281" 11 "e1" 1 "c" "8" "四處" "-" 1684 1109 1 "-1"
"282" 11 "e1" 1 "c" "9" "投訴" "-" 565 1684 1 "-1"
"283" 11 "e1" 1 "c" "?" "Y" "1" 1405 565 1 "-1"
"284" 11 "e1" 19 "a" "0" "協助" "-" 385 1405 -1 "1"
"285" 11 "e1" 19 "a" "1" "居民" "-" 701 385 -1 "2"
"286" 11 "e1" 19 "a" "2" "的" "-" 505 701 -1 "3"
"287" 11 "e1" 19 "a" "3" "軍官" "-" 696 505 -1 "4"
"288" 11 "e1" 19 "a" "4" "收傷" "-" 1331 696 -1 "5"
"289" 11 "e1" 19 "a" "5" "了" "-" 3414 1331 -1 "-1"
"290" 11 "e1" 19 "a" "6" "被" "-" 474 3414 -1 "-1"
"291" 11 "e1" 19 "a" "7" "送往" "-" 525 474 -1 "-1"
"292" 11 "e1" 19 "a" "8" "醫院" "-" 374 525 -1 "-1"
"293" 11 "e1" 19 "a" "?" "N" "1" 3457 374 -1 "-1"
"294" 11 "e1" 17 "c" "0" "流氓" "-" 420 3457 1 "1"
"295" 11 "e1" 17 "c" "1" "威脅" "-" 646 420 1 "2"
"296" 11 "e1" 17 "c" "2" "的" "-" 444 646 1 "3"
"297" 11 "e1" 17 "c" "3" "逃犯" "-" 827 444 1 "4"
"298" 11 "e1" 17 "c" "4" "害怕" "-" 1684 827 1 "5"
"299" 11 "e1" 17 "c" "5" "被" "-" 646 1684 1 "-1"
"300" 11 "e1" 17 "c" "6" "警察" "-" 4749 646 1 "-1"
"301" 11 "e1" 17 "c" "7" "抓" "-" 434 4749 1 "-1"
"302" 11 "e1" 17 "c" "8" "整天" "-" 419 434 1 "-1"
"303" 11 "e1" 17 "c" "9" "提心" "-" 782 419 1 "-1"
"304" 11 "e1" 17 "c" "10" "吊膽" "-" 626 782 1 "-1"
"305" 11 "e1" 17 "c" "?" "N" "1" 6980 626 1 "-1"
"306" 11 "e1" 5 "c" "0" "店員" "-" 395 6980 1 "1"
"307" 11 "e1" 5 "c" "1" "不喜歡" "-" 530 395 1 "2"
"308" 11 "e1" 5 "c" "2" "的" "-" 555 530 1 "3"
"309" 11 "e1" 5 "c" "3" "經理" "-" 626 555 1 "4"
"310" 11 "e1" 5 "c" "4" "站在" "-" 737 626 1 "5"
"311" 11 "e1" 5 "c" "5" "門口" "-" 1815 737 1 "-1"
"312" 11 "e1" 5 "c" "6" "招攬" "-" 534 1815 1 "-1"
"313" 11 "e1" 5 "c" "7" "生意" "-" 465 534 1 "-1"
"314" 11 "e1" 5 "c" "?" "Y" "1" 2488 465 1 "-1"
"315" 11 "e1" 13 "c" "0" "鋼琴師" "-" 984 2488 1 "-1"
"316" 11 "e1" 13 "c" "1" "很" "-" 500 984 1 "1"
"317" 11 "e1" 13 "c" "2" "受不了" "-" 535 500 1 "2"
"318" 11 "e1" 13 "c" "3" "的" "-" 419 535 1 "3"
"319" 11 "e1" 13 "c" "4" "小提琴家" "-" 1175 419 1 "4"
"320" 11 "e1" 13 "c" "5" "脾氣" "-" 4506 1175 1 "5"
"321" 11 "e1" 13 "c" "6" "不好" "-" 530 4506 1 "-1"
"322" 11 "e1" 13 "c" "7" "對人" "-" 1437 530 1 "-1"
"323" 11 "e1" 13 "c" "8" "大吼" "-" 399 1437 1 "-1"
"324" 11 "e1" 13 "c" "9" "大叫" "-" 1074 399 1 "-1"
"325" 11 "e1" 13 "c" "?" "Y" "1" 6848 1074 1 "-1"
"326" 11 "e1" 9 "c" "0" "大伯" "-" 415 6848 1 "1"
"327" 11 "e1" 9 "c" "1" "拜訪" "-" 525 415 1 "2"
"328" 11 "e1" 9 "c" "2" "的" "-" 394 525 1 "3"
"329" 11 "e1" 9 "c" "3" "鄰居" "-" 404 394 1 "4"
"330" 11 "e1" 9 "c" "4" "家境" "-" 1337 404 1 "5"
"331" 11 "e1" 9 "c" "5" "不好" "-" 817 1337 1 "-1"
"332" 11 "e1" 9 "c" "6" "常" "-" 812 817 1 "-1"
"333" 11 "e1" 9 "c" "7" "需要" "-" 792 812 1 "-1"
"334" 11 "e1" 9 "c" "8" "朋友" "-" 429 792 1 "-1"
"335" 11 "e1" 9 "c" "9" "幫忙" "-" 585 429 1 "-1"
"336" 11 "e1" 9 "c" "?" "N" "1" 921 585 1 "-1"
"351" 12 "e1" 18 "a" "0" "邀請" "-" 506 921 -1 "1"
"352" 12 "e1" 18 "a" "1" "富豪" "-" 732 506 -1 "2"
"353" 12 "e1" 18 "a" "2" "的" "-" 717 732 -1 "3"
"354" 12 "e1" 18 "a" "3" "官員" "-" 1700 717 -1 "4"
"355" 12 "e1" 18 "a" "4" "心懷" "-" 2804 1700 -1 "5"
"356" 12 "e1" 18 "a" "5" "不軌" "-" 479 2804 -1 "-1"
"357" 12 "e1" 18 "a" "6" "但是" "-" 1569 479 -1 "-1"
"358" 12 "e1" 18 "a" "7" "善於" "-" 494 1569 -1 "-1"
"359" 12 "e1" 18 "a" "8" "隱藏" "-" 601 494 -1 "-1"
"360" 12 "e1" 18 "a" "?" "N" "1" 5611 601 -1 "-1"
"361" 12 "e1" 2 "a" "0" "信任" "-" 1459 5611 -1 "1"
"362" 12 "e1" 2 "a" "1" "老闆" "-" 525 1459 -1 "2"
"363" 12 "e1" 2 "a" "2" "的" "-" 444 525 -1 "3"
"364" 12 "e1" 2 "a" "3" "工程師" "-" 707 444 -1 "4"
"365" 12 "e1" 2 "a" "4" "工作" "-" 699 707 -1 "5"
"366" 12 "e1" 2 "a" "5" "很" "-" 457 699 -1 "-1"
"367" 12 "e1" 2 "a" "6" "認真" "-" 2356 457 -1 "-1"
"368" 12 "e1" 2 "a" "7" "效率" "-" 671 2356 -1 "-1"
"369" 12 "e1" 2 "a" "8" "又高" "-" 561 671 -1 "-1"
"370" 12 "e1" 2 "a" "?" "Y" "1" 3650 561 -1 "-1"
"371" 12 "e1" 4 "c" "0" "聲樂家" "-" 617 3650 1 "1"
"372" 12 "e1" 4 "c" "1" "讚美" "-" 424 617 1 "2"
"373" 12 "e1" 4 "c" "2" "的" "-" 429 424 1 "3"
"374" 12 "e1" 4 "c" "3" "指揮家" "-" 434 429 1 "4"
"375" 12 "e1" 4 "c" "4" "很" "-" 464 434 1 "5"
"376" 12 "e1" 4 "c" "5" "有" "-" 344 464 1 "-1"
"377" 12 "e1" 4 "c" "6" "天份" "-" 369 344 1 "-1"
"378" 12 "e1" 4 "c" "7" "但是" "-" 364 369 1 "-1"
"379" 12 "e1" 4 "c" "8" "也" "-" 404 364 1 "-1"
"380" 12 "e1" 4 "c" "9" "很" "-" 374 404 1 "-1"
"381" 12 "e1" 4 "c" "10" "驕傲" "-" 802 374 1 "-1"
"382" 12 "e1" 4 "c" "?" "Y" "1" 1819 802 1 "-1"
"383" 12 "e1" 10 "a" "0" "撞到" "-" 375 1819 -1 "1"
"384" 12 "e1" 10 "a" "1" "郵差" "-" 374 375 -1 "2"
"385" 12 "e1" 10 "a" "2" "的" "-" 354 374 -1 "3"
"386" 12 "e1" 10 "a" "3" "送花童" "-" 323 354 -1 "4"
"387" 12 "e1" 10 "a" "4" "背著" "-" 380 323 -1 "5"
"388" 12 "e1" 10 "a" "5" "很多" "-" 331 380 -1 "-1"
"389" 12 "e1" 10 "a" "6" "東西" "-" 349 331 -1 "-1"
"390" 12 "e1" 10 "a" "7" "走路" "-" 343 349 -1 "-1"
"391" 12 "e1" 10 "a" "8" "東倒西歪" "-" 1624 343 -1 "-1"
"392" 12 "e1" 10 "a" "?" "N" "1" 3432 1624 -1 "-1"
"393" 12 "e1" 6 "a" "0" "打擾" "-" 375 3432 -1 "1"
"394" 12 "e1" 6 "a" "1" "市長" "-" 369 375 -1 "2"
"395" 12 "e1" 6 "a" "2" "的" "-" 439 369 -1 "3"
"396" 12 "e1" 6 "a" "3" "議員" "-" 352 439 -1 "4"
"397" 12 "e1" 6 "a" "4" "整天" "-" 369 352 -1 "5"
"398" 12 "e1" 6 "a" "5" "講電話" "-" 308 369 -1 "-1"
"399" 12 "e1" 6 "a" "6" "因為" "-" 434 308 -1 "-1"
"400" 12 "e1" 6 "a" "7" "事情" "-" 434 434 -1 "-1"
"401" 12 "e1" 6 "a" "8" "多" "-" 692 434 -1 "-1"
"402" 12 "e1" 6 "a" "?" "N" "1" 1350 692 -1 "-1"
"403" 12 "e1" 14 "a" "0" "瞧不起" "-" 521 1350 -1 "1"
"404" 12 "e1" 14 "a" "1" "屠夫" "-" 464 521 -1 "2"
"405" 12 "e1" 14 "a" "2" "的" "-" 435 464 -1 "3"
"406" 12 "e1" 14 "a" "3" "清潔工" "-" 469 435 -1 "4"
"407" 12 "e1" 14 "a" "4" "衣服" "-" 600 469 -1 "5"
"408" 12 "e1" 14 "a" "5" "總是" "-" 2355 600 -1 "-1"
"409" 12 "e1" 14 "a" "6" "很" "-" 278 2355 -1 "-1"
